Plot,AbvBioAnnProd_20102018mean,NumSp,Fgset,C3,C4,Forb,Legume,FgNum
2,130.38,1,L,0,0,0,1,1
3,119.66,4,GF,0,1,1,0,2
5,58.23,1,G,0,1,0,0,1
6,53.46,2,G,0,1,0,0,1
9,243.43,16,GFL,1,1,1,1,3
11,80.23,1,F,0,0,1,0,1
12,248.34,8,GFL,1,1,1,1,3
14,140.35,2,F,0,0,1,0,1
15,267.76,8,GFL,1,0,1,1,3
16,41.03,1,F,0,0,1,0,1
20,219.93,1,L,0,0,0,1,1
22,255.59,8,GFL,1,0,1,1,3
24,64.38,4,GF,1,1,1,0,2
26,182.58,4,GL,1,1,0,1,2
27,274.56,16,GFL,1,1,1,1,3
28,175.4,4,L,0,0,0,1,1
29,73.35,1,L,0,0,0,1,1
30,302.77,16,GFL,1,1,1,1,3
31,39.11,1,G,0,1,0,0,1
33,198.3,4,GFL,1,1,1,1,3
34,251.35,16,GFL,1,1,1,1,3
35,248.34,16,GFL,1,1,1,1,3
44,186.14,4,GFL,0,1,1,1,3
45,167.86,4,GFL,0,1,1,1,3
46,286.58,16,GFL,1,1,1,1,3
48,166.02,2,GL,1,0,0,1,2
50,191.11,8,GFL,1,0,1,1,3
53,127.37,4,GL,1,1,0,1,2
56,166.82,2,GL,0,1,0,1,2
57,274.23,8,GFL,1,1,1,1,3
58,147.66,4,GF,1,1,1,0,2
62,159.26,4,GL,1,0,0,1,2
67,296.53,8,GFL,1,1,1,1,3
68,317.47,16,GFL,1,1,1,1,3
69,69.94,1,F,0,0,1,0,1
70,242.39,4,GFL,0,1,1,1,3
74,209.81,8,GFL,1,1,1,1,3
75,95.43,2,GF,0,1,1,0,2
81,232.63,8,GFL,1,1,1,1,3
82,263.24,16,GFL,1,1,1,1,3
83,84.5,1,L,0,0,0,1,1
87,64.72,1,G,0,1,0,0,1
89,307.91,16,GFL,1,1,1,1,3
92,104.52,1,G,0,1,0,0,1
93,270.24,4,GL,1,0,0,1,2
94,135.47,1,L,0,0,0,1,1
98,262.37,8,GFL,1,1,1,1,3
104,267.43,8,GFL,1,1,1,1,3
107,256.6,16,GFL,1,1,1,1,3
108,359.19,16,GFL,1,1,1,1,3
109,79.25,1,G,0,1,0,0,1
110,256.74,4,GL,1,1,0,1,2
111,272.81,8,GFL,1,0,1,1,3
115,105.07,8,GF,1,1,1,0,2
117,107.41,2,FL,0,0,1,1,2
118,170.6,8,GFL,1,1,1,1,3
125,217.94,2,GL,0,1,0,1,2
129,172.65,1,F,0,0,1,0,1
130,264.31,8,GFL,1,1,1,1,3
133,234.94,4,GFL,0,1,1,1,3
135,76.18,1,G,0,1,0,0,1
136,287.58,16,GFL,1,1,1,1,3
137,279.24,1,L,0,0,0,1,1
138,226.4,4,GF,1,0,1,0,2
139,298.81,4,GL,1,0,0,1,2
142,98.11,1,G,1,0,0,0,1
146,274.86,8,GFL,1,1,1,1,3
149,268.24,4,GFL,0,1,1,1,3
156,253.08,16,GFL,1,1,1,1,3
157,69.67,2,G,1,0,0,0,1
160,279.03,16,GFL,1,1,1,1,3
163,79.56,1,G,0,1,0,0,1
164,304.5,16,GFL,1,1,1,1,3
165,107.08,2,G,1,1,0,0,1
167,126.61,1,F,0,0,1,0,1
168,139.7,2,G,1,1,0,0,1
169,348.75,16,GFL,1,1,1,1,3
170,210.21,8,GFL,1,0,1,1,3
171,150.57,2,GL,1,0,0,1,2
174,329.56,16,GFL,1,1,1,1,3
175,283.3,2,GL,0,1,0,1,2
176,157.76,4,GF,1,1,1,0,2
177,294.77,8,GFL,1,1,1,1,3
178,260.21,8,GF,1,1,1,0,2
185,135.45,1,L,0,0,0,1,1
186,358.41,16,GFL,1,1,1,1,3
190,235.61,4,FL,0,0,1,1,2
193,296.68,2,GL,0,1,0,1,2
197,129.76,2,GF,0,1,1,0,2
199,280.05,4,GL,0,1,0,1,2
201,303.16,4,GL,0,1,0,1,2
202,468.19,16,GFL,1,1,1,1,3
205,189.53,1,L,0,0,0,1,1
206,321.94,8,GFL,1,1,1,1,3
208,284.72,8,GFL,1,1,1,1,3
210,298.66,8,GFL,1,1,1,1,3
211,232.48,2,FL,0,0,1,1,2
213,267.69,8,GFL,1,1,1,1,3
220,273.64,16,GFL,1,1,1,1,3
223,131.46,4,GF,1,0,1,0,2
224,119.44,2,GF,0,1,1,0,2
225,222.62,4,GL,1,1,0,1,2
227,319.9,16,GFL,1,1,1,1,3
229,187.89,4,GL,1,1,0,1,2
230,91.41,1,G,0,1,0,0,1
232,333.23,8,GFL,1,1,1,1,3
233,347.65,4,GFL,1,0,1,1,3
234,253.79,2,GL,1,0,0,1,2
235,361.68,16,GFL,1,1,1,1,3
236,225.98,2,GL,0,1,0,1,2
237,57.52,1,G,1,0,0,0,1
239,395.43,16,GFL,1,1,1,1,3
242,284.05,16,GFL,1,1,1,1,3
253,331.31,16,GFL,1,1,1,1,3
257,375.89,16,GFL,1,1,1,1,3
259,284.89,2,GL,0,1,0,1,2
265,122.59,1,L,0,0,0,1,1
266,248.5,8,GFL,1,1,1,1,3
267,184.51,1,F,0,0,1,0,1
268,100.48,1,G,1,0,0,0,1
273,683.6,16,GFL,1,1,1,1,3
278,69.53,2,G,1,1,0,0,1
280,70.74,1,G,0,1,0,0,1
282,98.73,1,G,0,1,0,0,1
283,98.65,8,GF,1,1,1,0,2
286,263.96,4,GL,1,1,0,1,2
287,112.91,4,GF,1,1,1,0,2
290,100.18,1,F,0,0,1,0,1
291,158.79,1,L,0,0,0,1,1
292,344.9,8,GL,1,1,0,1,2
293,330.31,8,GFL,0,1,1,1,3
299,315.25,16,GFL,1,1,1,1,3
300,301.7,2,GL,0,1,0,1,2
301,295.53,16,GFL,1,1,1,1,3
302,319.49,4,FL,0,0,1,1,2
303,339.52,8,GFL,1,0,1,1,3
304,112.28,2,G,1,0,0,0,1
307,256.01,8,GFL,0,1,1,1,3
308,40.91,1,F,0,0,1,0,1
311,145.82,2,G,1,1,0,0,1
313,332,8,GFL,1,0,1,1,3
318,319.98,16,GFL,1,1,1,1,3
324,52.72,2,G,1,0,0,0,1
325,263.29,4,GFL,1,1,1,1,3
328,352.13,16,GFL,1,1,1,1,3
329,331.96,16,GFL,1,1,1,1,3
330,158.55,2,GF,0,1,1,0,2
331,325.02,16,GFL,1,1,1,1,3
334,90.34,2,G,1,1,0,0,1
335,226.34,2,GL,1,0,0,1,2
336,353.32,16,GFL,1,1,1,1,3
338,152.06,1,F,0,0,1,0,1
339,334.33,16,GFL,1,1,1,1,3
342,346.91,2,FL,0,0,1,1,2
